No,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
1,bpbbbbbb,614,b,50.49,614,p,52.12,8.4,52.7
2,bpbbbbbp,590,p,51.69,590,p,56.1,8.9,47.8
3,bpbbbbpb,652,b,51.07,652,b,51.14,9.5,59.6
4,bpbbbbpp,566,b,50.35,566,b,77.76,7.1,40.5
5,bpbbbpbb,674,b,50.59,674,p,56.1,9.9,44.4
6,bpbbbpbp,619,b,51.05,619,b,59.97,6.9,46.4
7,bpbbbppb,613,p,52.2,613,b,58.38,10.3,40.9
8,bpbbbppp,538,p,50.37,538,b,54.19,8.4,36.8
9,bpbbpbbb,617,b,52.84,617,b,62.99,8.4,36.4
10,bpbbpbbp,675,b,55.56,675,b,50.52,9.2,47.9
11,bpbbpbpb,616,p,53.41,616,b,52.72,8.9,48.1
12,bpbbpbpp,635,p,51.97,635,p,54.05,6.4,57.8
13,bpbbppbb,605,p,51.74,605,b,58.23,8.2,44.0
14,bpbbppbp,579,b,51.47,579,p,51.11,9.4,45.2
15,bpbbpppb,646,b,52.17,646,b,53.61,9.4,45.8
16,bpbbpppp,555,b,51.89,555,b,64.35,7.4,37.9
17,bpbpbbbb,610,b,54.75,610,p,50.67,8.1,54.3
18,bpbpbbbp,628,b,51.59,628,b,50.57,11.0,53.8
19,bpbpbbpb,592,b,50.68,592,b,66.1,9.1,45.2
20,bpbpbbpp,601,p,50.08,601,p,61.46,7.9,58.6
21,bpbpbpbb,653,p,50.08,653,b,66.64,8.4,47.1
22,bpbpbpbp,576,p,50.17,576,b,58.48,7.9,48.4
23,bpbpbppb,629,b,55.8,629,b,56.36,5.4,43.3
24,bpbpbppp,592,b,51.35,592,b,64.37,8.4,58.2
25,bpbppbbb,622,p,50.96,622,p,70.66,8.9,46.4
26,bpbppbbp,606,b,51.49,606,b,57.14,6.2,48.4
27,bpbppbpb,584,b,50,584,b,54.24,7.9,50.0
28,bpbppbpp,562,p,50.53,562,p,67.57,6.5,44.8
29,bpbpppbb,612,p,50.82,612,p,59.73,10.7,36.7
30,bpbpppbp,547,b,53.2,547,b,54.9,6.7,44.8
31,bpbppppb,595,b,52.77,595,p,58.22,9.3,48.8
32,bpbppppp,552,b,51.45,552,p,63.65,7.6,42.9
33,bppbbbbb,567,b,56.08,567,b,57.34,7.4,40.0
34,bppbbbbp,590,b,50.85,590,p,65.34,10.3,46.7
35,bppbbbpb,614,b,52.77,614,p,51.21,9.2,48.5
36,bppbbbpp,528,b,50,528,p,58.64,9.7,50.0
37,bppbbpbb,607,b,50.25,607,b,54.33,6.5,45.2
38,bppbbpbp,595,p,50.42,595,b,50.24,9.0,60.7
39,bppbbppb,616,b,50.32,616,p,58.31,8.9,41.2
40,bppbbppp,578,b,53.11,578,p,56.94,11.4,26.7
41,bppbpbbb,597,p,52.09,597,p,55.2,8.1,48.9
42,bppbpbbp,611,b,54.83,611,b,70.99,6.2,63.5
43,bppbpbpb,575,p,50.43,575,b,55.18,7.9,57.1
44,bppbpbpp,601,b,53.91,601,b,60.06,9.7,57.7
45,bppbppbb,596,p,51.85,596,p,51.65,8.7,62.9
46,bppbppbp,562,b,53.2,562,p,56.38,8.1,57.0
47,bppbpppb,567,p,50.44,567,b,60.54,9.4,50.0
48,bppbpppp,511,b,50.1,511,b,50.58,8.6,53.5
49,bpppbbbb,574,p,50.35,574,p,54.48,11.3,39.3
50,bpppbbbp,572,p,51.4,572,b,65.72,9.3,51.9
51,bpppbbpb,617,p,50.57,617,p,60.46,12.5,60.7
52,bpppbbpp,571,p,50.79,571,b,65.46,7.7,53.8
53,bpppbpbb,595,p,50.59,595,b,60.62,9.1,36.4
54,bpppbpbp,569,b,52.2,569,p,58.12,8.4,46.2
55,bpppbppb,546,b,50.55,546,b,70.39,8.4,50.0
56,bpppbppp,558,b,52.15,558,b,61.19,7.8,34.5
57,bppppbbb,554,b,51.26,554,b,71.34,8.8,48.3
58,bppppbbp,591,b,51.61,591,b,53.75,9.5,33.3
59,bppppbpb,599,b,52.75,599,b,59.5,9.9,53.4
60,bppppbpp,562,b,50.53,562,p,68.96,12.7,47.2
61,bpppppbb,547,p,52.29,547,p,60.25,7.1,48.1
62,bpppppbp,534,b,50.37,534,p,78.65,6.9,55.2
63,bppppppb,531,b,50.66,531,b,54.39,8.3,41.7
64,bppppppp,534,b,51.31,534,p,64.68,8.6,40.0
65,pbbbbbbb,639,p,50.08,639,b,66.77,8.0,55.6
66,pbbbbbbp,587,p,51.79,587,p,52.34,10.6,46.9
67,pbbbbbpb,571,b,50.79,571,p,63.06,8.1,54.8
68,pbbbbbpp,546,p,51.65,546,p,59.13,7.7,53.2
69,pbbbbpbb,618,p,53.07,618,p,50.64,9.9,38.5
70,pbbbbpbp,602,p,51.5,602,b,53.6,10.6,46.4
71,pbbbbppb,587,p,52.47,587,p,59.54,11.7,75.6
72,pbbbbppp,539,b,50.28,539,b,52.79,5.7,50.0
73,pbbbpbbb,634,p,50.79,634,b,53.29,7.8,36.8
74,pbbbpbbp,637,b,51.49,637,b,63.73,9.4,52.5
75,pbbbpbpb,621,p,52.98,621,p,56.51,9.8,53.7
76,pbbbpbpp,545,p,51.56,545,p,60.8,8.3,40.0
77,pbbbppbb,557,b,53.14,557,p,52.77,9.4,41.9
78,pbbbppbp,604,b,51.66,604,b,63.2,7.4,42.1
79,pbbbpppb,545,p,51.19,545,p,58.28,11.4,44.0
80,pbbbpppp,551,b,54.99,551,b,59.13,6.7,47.8
81,pbbpbbbb,619,p,55.09,619,p,50.16,9.1,42.4
82,pbbpbbbp,605,b,51.9,605,p,68.83,8.0,43.2
83,pbbpbbpb,678,b,50.15,678,p,56.12,7.1,56.0
84,pbbpbbpp,582,p,51.03,582,b,53.4,12.1,56.2
85,pbbpbpbb,600,b,52.5,600,p,50.1,8.4,56.1
86,pbbpbpbp,636,p,51.42,636,b,53.46,9.6,30.8
87,pbbpbppb,613,b,50.9,613,p,55.16,8.4,43.3
88,pbbpbppp,610,p,51.48,610,p,60.13,8.1,46.4
89,pbbppbbb,602,b,50.17,602,b,55.32,9.8,60.7
90,pbbppbbp,620,p,50.32,620,p,61.96,7.7,46.4
91,pbbppbpb,597,b,52.26,597,p,56.33,9.1,37.8
92,pbbppbpp,583,p,51.46,583,b,55.08,8.9,56.2
93,pbbpppbb,607,p,52.72,607,p,58.42,9.1,51.9
94,pbbpppbp,603,b,54.56,603,b,53.79,7.5,47.2
95,pbbppppb,587,p,53.66,587,p,58.16,10.4,46.7
96,pbbppppp,532,p,50.38,532,p,57.72,7.7,43.5
97,pbpbbbbb,620,b,51.13,620,p,56.19,9.0,55.0
98,pbpbbbbp,564,b,54.26,564,b,67.19,7.2,47.2
99,pbpbbbpb,653,b,52.83,653,b,58.6,10.4,50.9
100,pbpbbbpp,587,b,53.15,587,b,60.43,9.7,48.9
101,pbpbbpbb,608,p,50.49,608,p,58.76,9.4,39.0
102,pbpbbpbp,590,p,52.2,590,b,68.38,6.3,48.7
103,pbpbbppb,586,b,50.68,586,p,52.97,6.2,50.0
104,pbpbbppp,590,b,54.75,590,b,52.11,7.1,33.3
105,pbpbpbbb,628,p,50.8,628,p,54.07,10.6,48.0
106,pbpbpbbp,596,p,51.51,596,p,65.15,5.4,41.4
107,pbpbpbpb,592,b,54.22,592,b,53.09,8.4,55.7
108,pbpbpbpp,592,b,52.7,592,p,50.54,6.4,53.6
109,pbpbppbb,635,p,50.87,635,b,55.23,7.9,47.6
110,pbpbppbp,563,b,52.22,563,p,50.62,8.0,55.8
111,pbpbpppb,576,b,52.95,576,b,54.69,8.8,41.7
112,pbpbpppp,554,b,52.35,554,b,70.38,6.1,54.4
113,pbppbbbb,589,p,51.95,589,p,64.68,7.7,68.5
114,pbppbbbp,564,b,51.95,564,p,58.95,9.8,46.2
115,pbppbbpb,626,p,51.76,626,p,65.5,8.8,45.8
116,pbppbbpp,592,b,53.55,592,b,53.23,8.9,41.9
117,pbppbpbb,567,p,51.5,567,p,59.22,6.7,45.5
118,pbppbpbp,605,p,51.9,605,p,54,6.9,57.9
119,pbppbppb,559,b,54.03,559,p,61.51,6.6,46.4
120,pbppbppp,536,b,55.22,536,p,57.97,8.8,57.1
121,pbpppbbb,597,b,54.27,597,b,61.56,11.0,56.1
122,pbpppbbp,573,b,50.96,573,b,58.85,10.9,52.2
123,pbpppbpb,570,b,50.18,570,p,52.99,8.2,42.1
124,pbpppbpp,555,p,50.81,555,p,53.24,7.9,57.1
125,pbppppbb,589,b,50.25,589,b,58.38,8.6,47.4
126,pbppppbp,532,b,52.44,532,p,58.64,12.3,40.0
127,pbpppppb,537,b,50.47,537,p,54.28,7.1,62.5
128,pbpppppp,534,p,50,534,b,56.18,10.5,69.6
