No,윈도우,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
1,9,bpbbbbbb,646,b,50.46,646,p,52.12,8.4,46.7
2,9,bpbbbbbp,629,p,50.56,629,p,56.1,8.9,41.8
3,9,bpbbbbpb,706,b,51.27,706,b,51.14,9.5,62.3
4,9,bpbbbbpp,597,b,50.59,597,b,77.76,7.1,39.6
5,9,bpbbbpbb,712,b,51.4,712,p,56.1,9.9,44.4
6,9,bpbbbpbp,660,p,50.15,660,b,59.97,6.9,41.5
7,9,bpbbbppb,644,p,51.71,644,b,58.38,10.3,55.1
8,9,bpbbbppp,576,p,50.17,576,b,54.19,8.4,44.0
9,9,bpbbpbbb,666,b,53.6,666,b,62.99,8.4,46.0
10,9,bpbbpbbp,715,b,54.97,715,b,50.52,9.2,53.2
11,9,bpbbpbpb,656,p,52.9,656,b,52.72,8.9,64.8
12,9,bpbbpbpp,682,p,52.05,682,p,54.05,6.4,51.6
13,9,bpbbppbb,634,p,51.1,634,b,58.23,8.2,51.9
14,9,bpbbppbp,630,b,51.9,630,p,51.11,9.4,40.7
15,9,bpbbpppb,681,b,51.98,681,b,53.61,9.4,55.5
16,9,bpbbpppp,596,b,52.35,596,b,64.35,7.4,47.3
17,9,bpbpbbbb,643,b,54.59,643,p,50.67,8.1,46.7
18,9,bpbpbbbp,666,b,50.9,666,b,50.57,11.0,54.1
19,9,bpbpbbpb,635,b,50.55,635,b,66.1,9.1,45.3
20,9,bpbpbbpp,632,p,50.47,632,p,61.46,7.9,51.7
21,9,bpbpbpbb,683,b,50.22,683,b,66.64,8.4,48.8
22,9,bpbpbpbp,607,p,50.91,607,b,58.48,7.9,48.6
23,9,bpbpbppb,668,b,55.54,668,b,56.36,5.4,48.7
24,9,bpbpbppp,618,b,51.13,618,b,64.37,8.4,57.1
25,9,bpbppbbb,661,p,51.29,661,p,70.66,8.9,40.5
26,9,bpbppbbp,644,b,51.86,644,b,57.14,6.2,48.7
27,9,bpbppbpb,630,p,50.16,630,b,54.24,7.9,47.5
28,9,bpbppbpp,599,b,50.58,599,p,67.57,6.5,43.2
29,9,bpbpppbb,652,p,51.69,652,p,59.73,10.7,40.0
30,9,bpbpppbp,593,b,53.46,593,b,54.9,6.7,61.3
31,9,bpbppppb,632,b,52.22,632,p,58.22,9.3,57.9
32,9,bpbppppp,581,b,51.46,581,p,63.65,7.6,49.3
33,9,bppbbbbb,596,b,55.37,596,b,57.34,7.4,45.0
34,9,bppbbbbp,623,b,50.4,623,p,65.34,10.3,39.5
35,9,bppbbbpb,640,b,52.19,640,p,51.21,9.2,48.0
36,9,bppbbbpp,564,b,50.18,564,p,58.64,9.7,56.1
37,9,bppbbpbb,643,p,50.54,643,b,54.33,6.5,47.4
38,9,bppbbpbp,626,p,50.32,626,b,50.24,9.0,53.5
39,9,bppbbppb,648,b,50.46,648,p,58.31,8.9,45.0
40,9,bppbbppp,611,b,53.19,611,p,56.94,11.4,23.7
41,9,bppbpbbb,645,p,52.09,645,p,55.2,8.1,42.7
42,9,bppbpbbp,658,b,55.32,658,b,70.99,6.2,57.1
43,9,bppbpbpb,607,p,50.91,607,b,55.18,7.9,47.2
44,9,bppbpbpp,640,b,53.91,640,b,60.06,9.7,49.4
45,9,bppbppbb,627,p,51.83,627,p,51.65,8.7,59.1
46,9,bppbppbp,605,b,53.39,605,p,56.38,8.1,49.4
47,9,bppbpppb,592,p,50.17,592,b,60.54,9.4,51.9
48,9,bppbpppp,540,p,50.37,540,b,50.58,8.6,50.9
49,9,bpppbbbb,608,p,50,608,p,54.48,11.3,42.9
50,9,bpppbbbp,600,p,50.67,600,b,65.72,9.3,50.3
51,9,bpppbbpb,657,p,50.68,657,p,60.46,12.5,51.1
52,9,bpppbbpp,598,p,50.17,598,b,65.46,7.7,53.6
53,9,bpppbpbb,638,p,51.25,638,b,60.62,9.1,36.4
54,9,bpppbpbp,607,b,51.24,607,p,58.12,8.4,50.7
55,9,bpppbppb,580,b,50.34,580,b,70.39,8.4,46.2
56,9,bpppbppp,597,b,52.26,597,b,61.19,7.8,50.0
57,9,bppppbbb,584,b,51.71,584,b,71.34,8.8,42.2
58,9,bppppbbp,622,b,51.29,622,b,53.75,9.5,40.0
59,9,bppppbpb,643,b,51.63,643,b,59.5,9.9,52.9
