No,윈도우,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
1,9,bpbbbbbb,560,b,51.61,560,p,52.12,8.4,65.5
2,9,bpbbbbbp,544,p,52.57,544,p,56.1,8.9,47.8
3,9,bpbbbbpb,593,b,50.59,593,b,51.14,9.5,59.6
4,9,bpbbbbpp,520,b,51.15,520,b,77.76,7.1,40.5
5,9,bpbbbpbb,627,b,50.24,627,p,56.1,9.9,44.4
6,9,bpbbbpbp,564,b,51.06,564,b,59.97,6.9,46.4
7,9,bpbbbppb,564,p,51.24,564,b,58.38,10.3,40.9
8,9,bpbbbppp,502,p,50.2,502,b,54.19,8.4,36.8
9,9,bpbbpbbb,567,b,52.73,567,b,62.99,8.4,36.4
10,9,bpbbpbbp,636,b,55.97,636,b,50.52,9.2,52.5
11,9,bpbbpbpb,566,p,53.18,566,b,52.72,8.9,48.1
12,9,bpbbpbpp,582,p,51.72,582,p,54.05,6.4,71.4
13,9,bpbbppbb,555,p,51.17,555,b,58.23,8.2,44.0
14,9,bpbbppbp,520,b,51.15,520,p,51.11,9.4,45.2
15,9,bpbbpppb,592,b,51.35,592,b,53.61,9.4,45.8
16,9,bpbbpppp,502,b,51.99,502,b,64.35,7.4,37.9
17,9,bpbpbbbb,564,b,55.14,564,p,50.67,8.1,65.7
18,9,bpbpbbbp,583,b,51.46,583,b,50.57,11.0,58.1
19,9,bpbpbbpb,546,b,52.2,546,b,66.1,9.1,45.2
20,9,bpbpbbpp,544,p,50.18,544,p,61.46,7.9,58.6
21,9,bpbpbpbb,588,b,50.17,588,b,66.64,8.4,47.1
22,9,bpbpbpbp,515,p,50.87,515,b,58.48,7.9,48.4
23,9,bpbpbppb,556,b,57.73,556,b,56.36,5.4,43.3
24,9,bpbpbppp,531,b,50.85,531,b,64.37,8.4,60.0
25,9,bpbppbbb,576,p,51.39,576,p,70.66,8.9,46.4
26,9,bpbppbbp,552,b,51.99,552,b,57.14,6.2,50.0
27,9,bpbppbpb,518,p,50.19,518,b,54.24,7.9,50.0
28,9,bpbppbpp,508,b,50.2,508,p,67.57,6.5,44.8
29,9,bpbpppbb,556,p,51.62,556,p,59.73,10.7,36.7
30,9,bpbpppbp,485,b,52.37,485,b,54.9,6.7,44.8
31,9,bpbppppb,539,b,51.95,539,p,58.22,9.3,50.0
32,9,bpbppppp,508,b,51.38,508,p,63.65,7.6,42.9
33,9,bppbbbbb,523,b,56.21,523,b,57.34,7.4,40.0
34,9,bppbbbbp,549,b,50.64,549,p,65.34,10.3,46.7
35,9,bppbbbpb,569,b,52.37,569,p,51.21,9.2,51.6
36,9,bppbbbpp,479,b,50.1,479,p,58.64,9.7,50.0
37,9,bppbbpbb,556,p,50,556,b,54.33,6.5,45.2
38,9,bppbbpbp,547,b,50.09,547,b,50.24,9.0,60.7
39,9,bppbbppb,553,p,50.09,553,p,58.31,8.9,41.2
40,9,bppbbppp,532,b,53.2,532,p,56.94,11.4,26.7
41,9,bppbpbbb,547,p,53.38,547,p,55.2,8.1,59.4
42,9,bppbpbbp,551,b,55.35,551,b,70.99,6.2,78.8
43,9,bppbpbpb,526,p,50,526,b,55.18,7.9,57.1
44,9,bppbpbpp,550,b,54.73,550,b,60.06,9.7,73.5
45,9,bppbppbb,543,p,52.12,543,p,51.65,8.7,71.4
46,9,bppbppbp,510,b,53.53,510,p,56.38,8.1,72.2
47,9,bppbpppb,501,b,50.7,501,b,60.54,9.4,50.0
48,9,bppbpppp,467,b,51.61,467,b,50.58,8.6,60.0
49,9,bpppbbbb,523,p,50.48,523,p,54.48,11.3,39.3
50,9,bpppbbbp,521,p,51.25,521,b,65.72,9.3,59.1
51,9,bpppbbpb,568,p,50.35,568,p,60.46,12.5,60.7
52,9,bpppbbpp,507,p,50.1,507,b,65.46,7.7,53.8
53,9,bpppbpbb,541,p,50.83,541,b,60.62,9.1,36.4
54,9,bpppbpbp,506,b,51.98,506,p,58.12,8.4,46.2
55,9,bpppbppb,497,b,50.3,497,b,70.39,8.4,50.0
56,9,bpppbppp,511,b,51.86,511,b,61.19,7.8,34.5
57,9,bppppbbb,497,b,51.31,497,b,71.34,8.8,56.0
58,9,bppppbbp,542,b,51.48,542,b,53.75,9.5,33.3
59,9,bppppbpb,551,b,51.91,551,b,59.5,9.9,51.7
60,9,bppppbpp,518,p,50,518,p,68.96,12.7,47.2
61,9,bpppppbb,500,p,52.4,500,p,60.25,7.1,50.0
62,9,bpppppbp,487,b,50.51,487,p,78.65,6.9,55.2
63,9,bppppppb,478,b,50.42,478,b,54.39,8.3,41.7
64,9,bppppppp,485,b,51.34,485,p,64.68,8.6,40.0
65,9,pbbbbbbb,590,p,50,590,b,66.77,8.0,55.6
66,9,pbbbbbbp,534,p,52.25,534,p,52.34,10.6,46.9
67,9,pbbbbbpb,515,b,51.46,515,p,63.06,8.1,55.6
68,9,pbbbbbpp,509,p,52.26,509,p,59.13,7.7,53.3
69,9,pbbbbpbb,566,p,52.47,566,p,50.64,9.9,38.5
70,9,pbbbbpbp,550,p,50.91,550,b,53.6,10.6,46.4
71,9,pbbbbppb,545,p,51.56,545,p,59.54,11.7,70.6
72,9,pbbbbppp,489,b,50.92,489,b,52.79,5.7,50.0
73,9,pbbbpbbb,581,p,51.29,581,b,53.29,7.8,36.8
74,9,pbbbpbbp,590,b,51.53,590,b,63.73,9.4,51.3
75,9,pbbbpbpb,568,p,51.76,568,p,56.51,9.8,50.0
