window_size,prefix
10,bbpbbbbbb
10,bbpbbbbbp
10,bbpbbbbpb
10,bbpbbbbpp
10,bbpbbbpbb
10,bbpbbbpbp
10,bbpbbbppp
10,bbpbpbbbb
10,bbpbpbbbp
10,bbpbpbpbb
10,bbpbpbpbp
10,bbpbpbppp
10,bbpbpppbb
10,bbpbpppbp
10,bbpbppppb
10,bbpbppppp
10,bbpppbbbb
10,bbpppbbbp
10,bbpppbpbb
10,bbpppbpbp
10,bbpppbppp
10,bbppppbbb
10,bbppppbpb
10,bbppppbpp
10,bbpppppbb
10,bbpppppbp
10,bbppppppb
10,bbppppppp
10,ppbbbbbbb
10,ppbbbbbbp
10,ppbbbbbpb
10,ppbbbbbpp
10,ppbbbbpbb
10,ppbbbbpbp
10,ppbbbbppp
10,ppbbbpbbb
10,ppbbbpbpb
10,ppbbbpbpp
10,ppbbbpppb
10,ppbbbpppp
10,ppbpbbbbb
10,ppbpbbbbp
10,ppbpbbbpb
10,ppbpbbbpp
10,ppbpbpbbb
10,ppbpbpbpb
10,ppbpbpbpp
10,ppbpbpppb
10,ppbpbpppp
10,ppbpppbbb
10,ppbpppbpb
10,ppbpppbpp
10,ppbppppbb
10,ppbppppbp
10,ppbpppppb
10,ppbpppppp
12,bpbbpbbbbbb
12,bpbbpbbbbbp
12,bpbbpbbbbpb
12,bpbbpbbbbpp
12,bpbbpbbbpbb
12,bpbbpbbbpbp
12,bpbbpbbbppp
12,bpbbpbpbbbb
12,bpbbpbpbbbp
12,bpbbpbpbpbb
12,bpbbpbpbpbp
12,bpbbpbpbppp
12,bpbbpbpppbb
12,bpbbpbpppbp
12,bpbbpbppppb
12,bpbbpbppppp
12,bpbbpppbbbb
12,bpbbpppbbbp
12,bpbbpppbpbb
12,bpbbpppbpbp
12,bpbbpppbppp
12,bpbbppppbbb
12,bpbbppppbpb
12,bpbbppppbpp
12,bpbbpppppbb
12,bpbbpppppbp
12,bpbbppppppb
12,bpbbppppppp
12,pbppbbbbbbb
12,pbppbbbbbbp
12,pbppbbbbbpb
12,pbppbbbbbpp
12,pbppbbbbpbb
12,pbppbbbbpbp
12,pbppbbbbppp
12,pbppbbbpbbb
12,pbppbbbpbpb
12,pbppbbbpbpp
12,pbppbbbpppb
12,pbppbbbpppp
12,pbppbpbbbbb
12,pbppbpbbbbp
12,pbppbpbbbpb
12,pbppbpbbbpp
12,pbppbpbpbbb
12,pbppbpbpbpb
12,pbppbpbpbpp
12,pbppbpbpppb
12,pbppbpbpppp
12,pbppbpppbbb
12,pbppbpppbpb
12,pbppbpppbpp
12,pbppbppppbb
12,pbppbppppbp
12,pbppbpppppb
12,pbppbpppppp
