window_size,csv_prefix,grid_string_id,string_length,grid_string,full_chunk,suffix
10,bbpbbbbbb,28,23,bbpbbbbbbbbbpppbpbbpbbb,bbpbbbbbbb,b
10,bbpbbbbbb,80,21,bbpbbbbbbbbbbbpbbbbbp,bbpbbbbbbb,b
10,bbpbbbbbb,153,26,bbpbbbbbbbbpbbpppbbbpbbppp,bbpbbbbbbb,b
10,bbpbbbbbb,203,21,bbpbbbbbbppbpbbpppbbb,bbpbbbbbbp,p
10,bbpbbbbbb,778,44,bbpbbbbbbbpppppbppbbbbpppbbbppbbbbbbppbppbpp,bbpbbbbbbb,b
10,bbpbbbbbb,1650,37,bbpbbbbbbbbppppbbppbpbbpbpbbbppbppbpp,bbpbbbbbbb,b
10,bbpbbbbbb,1888,59,bbpbbbbbbppbppbpbbpbbbpbppbbppbppbppbppbpbpbpppbpbbppbbbbpb,bbpbbbbbbp,p
10,bbpbbbbbb,1917,42,bbpbbbbbbbbbpbbppbpbpbppbpbbbpbppbppbbpbbb,bbpbbbbbbb,b
10,bbpbbbbbb,1977,58,bbpbbbbbbppbpppbppppbbppbbbppbpppbppbpbpbbbpbppbbbpppbpbbp,bbpbbbbbbp,p
10,bbpbbbbbb,2445,60,bbpbbbbbbbbpppbbpbppbbppppbpbbbpbbpbbbpbbbpbbbbbppbbbbppbbbb,bbpbbbbbbb,b
10,bbpbbbbbb,4217,42,bbpbbbbbbbppppbpbpbbbpppbbbppbppppbbpbbbbb,bbpbbbbbbb,b
10,bbpbbbbbb,4555,44,bbpbbbbbbbpbpbbbppbpbpppppbbpbbppppbpppbbpbb,bbpbbbbbbb,b
10,bbpbbbbbb,4648,51,bbpbbbbbbbpbbpbbpbbpbbbbppbpbbppppbpbpbpbppbbpbppbb,bbpbbbbbbb,b
10,bbpbbbbbb,4850,39,bbpbbbbbbpppbbppbbpbpppbbbbpbpbbppbbppb,bbpbbbbbbp,p
10,bbpbbbbbb,4977,44,bbpbbbbbbbpbbpbbpbbpbpbpppbppbbpbpbbppppppbp,bbpbbbbbbb,b
10,bbpbbbbbb,5022,33,bbpbbbbbbbpppbbbpbbbbpbpbppbpbppp,bbpbbbbbbb,b
10,bbpbbbbbb,5029,39,bbpbbbbbbbpbbppbpbpbppbppbpbbpppppppbpb,bbpbbbbbbb,b
10,bbpbbbbbb,5249,51,bbpbbbbbbbpbpbbbpbbbpbpbpbppbpbbpbpbppbbbpbbbbbbbpb,bbpbbbbbbb,b
10,bbpbbbbbp,947,43,bbpbbbbbpppbppbpbppbbpbbppbppbpbpbppbbpbbbb,bbpbbbbbpp,p
10,bbpbbbbbp,1426,57,bbpbbbbbpbpbbbpbpbppbbpbbpbppbbbppbppbbppbppbpbbppbpbppbp,bbpbbbbbpb,b
10,bbpbbbbbp,1577,66,bbpbbbbbpbppbpppbpbpbbpbppbbbppbbppppbbbbpbbpppbpbpbpbpbppbpppbbpp,bbpbbbbbpb,b
10,bbpbbbbbp,2375,53,bbpbbbbbpppbpbbbppbpbbbbbppbbpppppppbpbpbbbbbppbppbbp,bbpbbbbbpp,p
10,bbpbbbbbp,2663,45,bbpbbbbbpbbppbbbbbbbppbbbbpbbpppbbbppbppbppbb,bbpbbbbbpb,b
10,bbpbbbbbp,3575,65,bbpbbbbbppbpppbpbbbbbpbpbpbpbpbbbpppppbbpbbbbbbbppbppbppbpbbbbpbb,bbpbbbbbpp,p
10,bbpbbbbbp,4782,53,bbpbbbbbpbbpbbbbpbppbppbpppbbbbpbbbpppppbbbppbpppbpbb,bbpbbbbbpb,b
10,bbpbbbbbp,5327,38,bbpbbbbbppbpppppppppbpbbpbbpppppppbpbb,bbpbbbbbpp,p
10,bbpbbbbbp,5334,55,bbpbbbbbpbpbbbpbbbpbbpbpbbbbpbbppbpbbbpppbbbpbppbbbpbpb,bbpbbbbbpb,b
10,bbpbbbbbp,5373,48,bbpbbbbbppbbpbpbbpbppbpbppbbppppbppbppbbppppbppp,bbpbbbbbpp,p
10,bbpbbbbpb,77,20,bbpbbbbpbpppppppbbpb,bbpbbbbpbp,p
10,bbpbbbbpb,604,34,bbpbbbbpbpbppppbpbpppbbbbbbbpbpbpp,bbpbbbbpbp,p
10,bbpbbbbpb,759,55,bbpbbbbpbppbbpbbbbpbbbbppbbbbbpppppbbppbppbpbppbpbbbpbp,bbpbbbbpbp,p
10,bbpbbbbpb,1159,61,bbpbbbbpbppbppbpbppbpbbbbpbbpbbppbpbpppbbbbbbpbbpbpbbbbpbbpbp,bbpbbbbpbp,p
10,bbpbbbbpb,1239,56,bbpbbbbpbbbpppbbbppbbppbpbppbpbbpbbbbbpbbpppppbpbbpbbbpp,bbpbbbbpbb,b
10,bbpbbbbpb,2239,53,bbpbbbbpbpbpbbbpbbbppbppbbppbbbbpbbpbbppbppppppbpbpbp,bbpbbbbpbp,p
10,bbpbbbbpb,2510,63,bbpbbbbpbbbpppbpbbbpbpppbpbbbbbbpbpbbpppbppbppppbppbpbpbpbppbbb,bbpbbbbpbb,b
10,bbpbbbbpb,2592,65,bbpbbbbpbpbbbpppbpbppbbpppppppbbbppppppbbbbpppbpbbbpppbbpppbbpbpb,bbpbbbbpbp,p
10,bbpbbbbpb,2620,67,bbpbbbbpbbbpbbbbpbbpbbpbpbbpbbppbpbbpppbbbpppppbpbbpppbbpbpbbpbpppp,bbpbbbbpbb,b
10,bbpbbbbpb,2647,58,bbpbbbbpbbbpbpbppbbbpbbbbppbbpbbbpbpbpbbbbpbbpbbpbppbbbpbb,bbpbbbbpbb,b
10,bbpbbbbpb,2659,59,bbpbbbbpbbbbppbpbbppbbpbbpbbppbbbbbbpbbbpbbpbppbbbbpbbbbbpb,bbpbbbbpbb,b
10,bbpbbbbpb,3468,55,bbpbbbbpbbbpbpppbbbbppbbpbpbbpppppppbbbpbbbbppbppbppbpb,bbpbbbbpbb,b
10,bbpbbbbpb,5272,48,bbpbbbbpbppppbbbbpbbbpbbbbppppppbbbpbppbbpppbppb,bbpbbbbpbp,p
10,bbpbbbbpb,5421,43,bbpbbbbpbbbbpbppppbpppbppbppppppppbpbbbpbbb,bbpbbbbpbb,b
10,bbpbbbbpp,215,46,bbpbbbbpppbbpbpbppbbbbpbpbpbpbbbppbbbbpppbpppb,bbpbbbbppp,p
10,bbpbbbbpp,1895,68,bbpbbbbpppbppppbbppbpppbbpbpbppbbpbpppppbpppbbppbbbpppppbbbppbbpppbp,bbpbbbbppp,p
10,bbpbbbbpp,2080,25,bbpbbbbppbppbbpbppbbpppbb,bbpbbbbppb,b
10,bbpbbbbpp,2095,44,bbpbbbbppbppbbpbppbbpppbbbppbbbppbbbppppppbb,bbpbbbbppb,b
10,bbpbbbbpp,2459,53,bbpbbbbppppbbbbbbpbbbbbppbpbppbpppbpbpbbpbbpbppppbppp,bbpbbbbppp,p
10,bbpbbbbpp,2934,44,bbpbbbbppbpbppbppppbbbpbbbbpbpbbppppbbpppbbp,bbpbbbbppb,b
10,bbpbbbbpp,3154,49,bbpbbbbpppbbpbpbpbbppbpppbpppbppbppbbpppppppppbbp,bbpbbbbppp,p
10,bbpbbbbpp,3287,55,bbpbbbbpppbpppbpbppbpppppppppbbpbppbpbpbbbbppbppbbbbbbb,bbpbbbbppp,p
10,bbpbbbbpp,3766,59,bbpbbbbppbbbpbppbppbbpbbpbbpbbpbbbbbbppbbbbbbpbbbpbbpbpbppp,bbpbbbbppb,b
10,bbpbbbbpp,4346,53,bbpbbbbppbbpbbbpbbpppppbppppbbppbbbppbppbbppbbbpbbpbb,bbpbbbbppb,b
10,bbpbbbbpp,4444,66,bbpbbbbppppppbbbbppbbpbppbpbbbbpbbbbpbpppbppbbpppbpbbbpbbppppbpbpp,bbpbbbbppp,p
10,bbpbbbbpp,4885,51,bbpbbbbppppbbpppbbbpppbbbpbbbpppppbpbppbbbbppbpbbbp,bbpbbbbppp,p
10,bbpbbbbpp,5049,48,bbpbbbbppppbbpppbpbpbpbbpbpbpppbbpbppbbpppbpbppb,bbpbbbbppp,p
10,bbpbbbbpp,5324,51,bbpbbbbpppbpbppbpbbbpppbpbppppbbbpbpbbpppbpppbpbbpp,bbpbbbbppp,p
10,bbpbbbbpp,5531,53,bbpbbbbppbbbbpppbpbppbbpbppppppppbbppbpbbpppbpbbbpbpb,bbpbbbbppb,b
10,bbpbbbpbb,309,37,bbpbbbpbbpbbbpbbpbpbbpbbpbppppbbbpppb,bbpbbbpbbp,p
